"-17.914,37.074,4.570","-18.067,37.074,4.570","-18.067,37.074,4.570","-18.067,37.136,4.570","-18.067,37.136,4.570","-20.228,37.136,4.570","-20.228,37.136,4.570","-20.228,35.247,4.570","-20.228,35.247,4.570","-19.857,35.247,4.570","-19.857,35.247,4.570","-19.857,34.688,4.570","-23.803,31.729,4.570","-19.857,28.771,4.570","-19.857,27.584,4.570","-19.857,27.584,4.570","-17.767,27.584,4.570","-17.767,27.584,4.570","-15.408,27.584,4.570","-15.408,27.584,4.570","-15.230,27.584,4.570","-15.230,27.584,4.570","-15.048,27.584,4.570","-15.048,27.584,4.570","-15.048,28.246,4.570","-15.048,28.246,4.570","-15.048,28.725,4.570","-11.137,31.729,4.570","-15.083,34.688,4.570","-15.083,35.247,4.570","-15.083,35.247,4.570","-14.258,35.247,4.570","-14.258,35.247,4.570","-14.258,37.136,4.570","-14.258,37.136,4.570","-15.258,37.136,4.570","-15.258,37.136,4.570","-15.258,37.074,4.570","-15.258,37.074,4.570","-15.411,37.074,4.570","-15.411,37.074,4.570","-17.914,37.074,4.570",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"-40.440,49.860,0.000","-38.693,49.860,0.000","-38.693,49.860,0.000","-38.693,50.293,0.000","-38.693,50.293,0.000","-38.171,50.293,0.000","-38.171,50.293,0.000","-37.757,50.293,0.000","-37.757,50.293,0.000","-37.693,50.293,0.000","-37.693,50.293,0.000","-37.693,51.852,0.000","-37.693,51.852,0.000","-38.222,51.852,0.000","-38.222,51.852,0.000","-38.222,51.817,0.000","-38.222,51.817,0.000","-38.693,51.817,0.000","-38.693,51.817,0.000","-38.693,52.556,0.000","-38.693,52.556,0.000","-38.658,52.556,0.000","-38.658,52.556,0.000","-38.658,54.340,0.000","-38.658,54.340,0.000","-38.693,54.340,0.000","-38.693,54.340,0.000","-38.693,55.421,0.000","-38.693,55.421,0.000","-40.475,55.421,0.000","-40.475,55.421,0.000","-40.475,53.202,0.000","-40.475,53.202,0.000","-40.475,50.403,0.000","-40.475,50.403,0.000","-40.440,50.403,0.000","-40.440,50.403,0.000","-40.440,49.860,0.000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"-19.830,19.570,4.570","-19.830,19.417,4.570","-19.830,19.417,4.570","-19.857,19.417,4.570","-19.857,19.417,4.570","-19.857,18.441,4.570","-19.857,18.441,4.570","-19.892,18.441,4.570","-19.892,18.441,4.570","-19.892,14.852,4.570","-19.892,14.852,4.570","-19.892,10.277,4.570","-19.892,10.277,4.570","-19.857,10.277,4.570","-19.857,10.277,4.570","-19.857,9.793,4.570","-19.857,9.793,4.570","-17.768,9.793,4.570","-17.768,9.793,4.570","-17.768,10.208,4.570","-17.768,10.208,4.570","-17.768,12.718,4.570","-17.768,12.718,4.570","-16.768,12.718,4.570","-16.768,12.718,4.570","-16.768,14.586,4.570","-16.768,14.586,4.570","-17.768,14.586,4.570","-17.768,14.586,4.570","-17.768,18.722,4.570","-17.768,18.722,4.570","-17.768,22.912,4.570","-17.768,22.912,4.570","-19.857,22.912,4.570","-19.857,22.912,4.570","-19.857,21.181,4.570","-19.857,21.181,4.570","-19.830,21.181,4.570","-19.830,21.181,4.570","-19.830,21.028,4.570","-19.830,21.028,4.570","-19.830,19.570,4.570",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"-51.697,-0.247,0.000","-47.388,-0.247,0.000","-47.388,-0.247,0.000","-47.388,0.203,0.000","-47.388,0.203,0.000","-47.388,2.678,0.000","-47.388,2.678,0.000","-47.388,7.028,0.000","-47.388,7.028,0.000","-47.158,7.028,0.000","-47.158,7.028,0.000","-47.158,7.248,0.000","-47.158,7.248,0.000","-47.158,7.502,0.000","-47.158,7.502,0.000","-47.388,7.502,0.000","-47.388,7.502,0.000","-47.388,9.837,0.000","-47.388,9.837,0.000","-47.388,10.225,0.000","-47.388,10.225,0.000","-51.029,10.225,0.000","-51.029,10.225,0.000","-51.183,10.225,0.000","-51.183,10.225,0.000","-51.183,10.296,0.000","-51.183,10.296,0.000","-51.697,10.296,0.000","-51.697,10.296,0.000","-51.697,9.837,0.000","-51.697,9.837,0.000","-52.147,9.837,0.000","-52.147,9.837,0.000","-52.147,7.760,0.000","-52.147,7.760,0.000","-52.147,2.759,0.000","-52.147,2.759,0.000","-52.147,0.203,0.000","-52.147,0.203,0.000","-51.697,0.203,0.000","-51.697,0.203,0.000","-51.697,-0.247,0.000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"-11.892,34.772,4.570","-11.892,38.145,4.570","-11.892,38.145,4.570","-11.892,39.482,4.570","-11.892,39.482,4.570","-10.943,39.482,4.570","-10.943,39.482,4.570","-10.943,41.316,4.570","-10.943,41.316,4.570","-11.858,41.316,4.570","-11.858,41.316,4.570","-11.858,43.319,4.570","-11.858,43.319,4.570","-11.858,44.907,4.570","-11.858,44.907,4.570","-11.858,44.982,4.570","-11.858,44.982,4.570","-14.677,44.982,4.570","-14.677,44.982,4.570","-14.677,44.611,4.570","-14.677,44.611,4.570","-15.258,44.611,4.570","-15.258,44.611,4.570","-15.258,42.218,4.570","-15.258,42.218,4.570","-15.258,37.212,4.570","-15.258,37.212,4.570","-15.258,37.136,4.570","-15.258,37.136,4.570","-14.258,37.136,4.570","-14.258,37.136,4.570","-14.258,35.247,4.570","-14.258,35.247,4.570","-13.900,35.247,4.570","-13.900,35.247,4.570","-13.900,34.772,4.570","-13.900,34.772,4.570","-11.892,34.772,4.570",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"-33.382,44.982,4.570","-33.382,45.044,4.570","-33.382,45.044,4.570","-33.229,45.044,4.570","-33.229,45.044,4.570","-31.701,45.044,4.570","-31.701,45.044,4.570","-31.548,45.044,4.570","-31.548,45.044,4.570","-31.548,44.982,4.570","-31.548,44.982,4.570","-29.352,44.982,4.570","-29.352,44.982,4.570","-27.122,44.982,4.570","-27.122,44.982,4.570","-27.122,46.816,4.570","-27.122,46.816,4.570","-28.068,46.816,4.570","-28.068,46.816,4.570","-31.478,46.816,4.570","-31.478,46.816,4.570","-34.888,46.816,4.570","-34.888,46.816,4.570","-36.590,46.816,4.570","-36.590,46.816,4.570","-36.590,44.982,4.570","-36.590,44.982,4.570","-36.542,44.982,4.570","-36.542,44.982,4.570","-34.193,44.982,4.570","-34.193,44.982,4.570","-33.382,44.982,4.570",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"-31.738,19.382,4.570","-31.610,19.382,4.570","-31.610,19.382,4.570","-31.610,21.063,4.570","-31.610,21.063,4.570","-31.610,21.216,4.570","-31.610,21.216,4.570","-31.548,21.216,4.570","-31.548,21.216,4.570","-31.548,28.628,4.570","-31.548,28.628,4.570","-31.551,28.628,4.570","-31.551,28.628,4.570","-31.551,28.781,4.570","-31.551,28.781,4.570","-31.551,34.619,4.570","-31.551,34.619,4.570","-31.551,34.796,4.570","-31.551,34.796,4.570","-33.382,34.796,4.570","-33.382,34.796,4.570","-33.382,31.074,4.570","-33.382,31.074,4.570","-33.488,31.074,4.570","-33.488,31.074,4.570","-33.488,29.244,4.570","-33.488,29.244,4.570","-33.382,29.244,4.570","-33.382,29.244,4.570","-33.382,28.464,4.570","-33.382,28.464,4.570","-33.382,28.279,4.570","-33.382,28.279,4.570","-33.382,21.476,4.570","-33.382,21.476,4.570","-33.382,18.847,4.570","-33.382,18.847,4.570","-33.347,18.847,4.570","-33.347,18.847,4.570","-33.347,18.286,4.570","-33.347,18.286,4.570","-31.738,18.286,4.570","-31.738,18.286,4.570","-31.738,19.382,4.570",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"-19.857,42.218,0.000","-18.058,42.218,0.000","-18.058,42.218,0.000","-18.058,44.052,0.000","-18.058,44.052,0.000","-18.058,47.142,0.000","-18.058,47.142,0.000","-18.058,49.282,0.000","-18.058,49.282,0.000","-18.058,49.976,0.000","-18.058,49.976,0.000","-19.816,49.976,0.000","-19.816,49.976,0.000","-19.816,49.870,0.000","-19.816,49.870,0.000","-19.969,49.870,0.000","-19.969,49.870,0.000","-21.118,49.870,0.000","-21.118,49.870,0.000","-21.118,48.088,0.000","-21.118,48.088,0.000","-19.892,48.088,0.000","-19.892,48.088,0.000","-19.892,45.422,0.000","-19.892,45.422,0.000","-19.857,45.422,0.000","-19.857,45.422,0.000","-19.857,44.983,0.000","-19.857,44.983,0.000","-19.857,42.218,0.000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"-38.658,22.668,0.000","-38.720,22.668,0.000","-38.720,22.668,0.000","-38.720,22.821,0.000","-38.720,22.821,0.000","-38.720,24.349,0.000","-38.720,24.349,0.000","-38.720,24.502,0.000","-38.720,24.502,0.000","-38.658,24.502,0.000","-38.658,24.502,0.000","-38.658,24.996,0.000","-38.658,24.996,0.000","-40.492,24.996,0.000","-40.492,24.996,0.000","-40.492,24.598,0.000","-40.492,24.598,0.000","-40.492,24.352,0.000","-40.492,24.352,0.000","-40.492,22.522,0.000","-40.492,22.522,0.000","-40.492,18.813,0.000","-40.492,18.813,0.000","-40.492,18.407,0.000","-40.492,18.407,0.000","-40.492,16.752,0.000","-40.492,16.752,0.000","-38.658,16.752,0.000","-38.658,16.752,0.000","-38.658,18.622,0.000","-38.658,18.622,0.000","-38.658,22.668,0.000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"-5.980,45.135,4.570","-5.980,44.982,4.570","-5.980,44.982,4.570","-6.042,44.982,4.570","-6.042,44.982,4.570","-6.042,41.316,4.570","-6.042,41.316,4.570","-5.980,41.316,4.570","-5.980,41.316,4.570","-5.980,41.163,4.570","-5.980,41.163,4.570","-5.980,39.635,4.570","-5.980,39.635,4.570","-5.980,39.482,4.570","-5.980,39.482,4.570","-6.042,39.482,4.570","-6.042,39.482,4.570","-6.042,38.882,4.570","-6.042,38.882,4.570","-4.208,38.882,4.570","-4.208,38.882,4.570","-4.208,40.136,4.570","-4.208,40.136,4.570","-4.208,42.732,4.570","-4.208,42.732,4.570","-4.208,46.326,4.570","-4.208,46.326,4.570","-4.208,46.816,4.570","-4.208,46.816,4.570","-5.980,46.816,4.570","-5.980,46.816,4.570","-5.980,45.135,4.570",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
