B97,"-33.652,24.502,0.0","-34.652,24.502,0.0","-34.652,24.502,2.0","-33.652,24.502,2.0","-33.652,24.502,0.0"
B98,"-44.512,46.816,4.57","-45.512,46.816,4.57","-45.512,46.816,6.57","-44.512,46.816,6.57","-44.512,46.816,4.57"
B99,"-18.058,45.222,0.0","-18.058,46.222,0.0","-18.058,46.222,2.0","-18.058,45.222,2.0","-18.058,45.222,0.0"
B100,"-18.058,48.185,0.0","-18.058,49.185,0.0","-18.058,49.185,2.0","-18.058,48.185,2.0","-18.058,48.185,0.0"
B101,"-29.828,52.831,0.0","-29.828,53.831,0.0","-29.828,53.831,2.0","-29.828,52.831,2.0","-29.828,52.831,0.0"
B102,"-31.662,51.001,0.0","-31.662,50.001,0.0","-31.662,50.001,2.0","-31.662,51.001,2.0","-31.662,51.001,0.0"
B103,"-26.142,36.537,0.0","-26.142,35.537,0.0","-26.142,35.537,2.0","-26.142,36.537,2.0","-26.142,36.537,0.0"
B104,"-34.652,38.888,0.0","-33.652,38.888,0.0","-33.652,38.888,2.0","-34.652,38.888,2.0","-34.652,38.888,0.0"
B105,"-42.169,34.842,0.0","-43.169,34.842,0.0","-43.169,34.842,2.0","-42.169,34.842,2.0","-42.169,34.842,0.0"
B106,"-43.169,28.548,0.0","-42.169,28.548,0.0","-42.169,28.548,2.0","-43.169,28.548,2.0","-43.169,28.548,0.0"
B107,"-33.263,28.548,0.0","-32.263,28.548,0.0","-32.263,28.548,2.0","-33.263,28.548,2.0","-33.263,28.548,0.0"
B108,"-32.453,24.502,0.0","-33.453,24.502,0.0","-33.453,24.502,2.0","-32.453,24.502,2.0","-32.453,24.502,0.0"
B109,"-26.142,27.852,0.0","-26.142,26.852,0.0","-26.142,26.852,2.0","-26.142,27.852,2.0","-26.142,27.852,0.0"
B110,"-47.313,53.202,0.0","-48.313,53.202,0.0","-48.313,53.202,2.0","-47.313,53.202,2.0","-47.313,53.202,0.0"
B111,"-41.907,1.312,0.0","-41.907,2.312,0.0","-41.907,2.312,2.0","-41.907,1.312,2.0","-41.907,1.312,0.0"
B112,"-27.028,6.531,0.0","-27.028,7.531,0.0","-27.028,7.531,2.0","-27.028,6.531,2.0","-27.028,6.531,0.0"
