,,,start,end
1,,,"-9.352,18.811,0","-13.2105,17.674,0"
1,,,"-43.668,17.952,4.57","-45.97225,15.262,4.57"
1,,,"-43.048,15.797,4.57","-45.97225,15.262,4.57"
1,,,"-43.668,13.642,4.57","-45.97225,15.262,4.57"
1,,,"-40.429,13.642,4.57","-39.9008,11.2542,4.57"
1,,,"-3.428,22.743,4.57","-1.2352,21.9609,4.57"
1,,,"-7.779,12.718,4.57","-6.5698,10.5716,4.57"
1,,,"-38.658,15.427,0","-36.600222,16.390889,0"
1,,,"-28.569,40.722,0","-27.1206,43.1494,0"
1,,,"-34.903,22.668,0","-33.862222,19.563556,0"
1,,,"-40.475,37.521,0","-42.126,38.572,0"
1,,,"-1.898,25.947,0","-0.668222,27.102444,0"
1,,,"-15.258,37.058,0","-14.23525,36.361,0"
1,,,"-12.622,37.058,0","-14.23525,36.361,0"
1,,,"-31.662,50.501,0","-30.745,52.292,0"
1,,,"-31.662,53.161,0","-30.745,52.292,0"
1,,,"-29.828,53.331,0","-30.745,52.292,0"
1,,,"-31.043,54.349,0","-30.745,52.292,0"
1,,,"-32.887,48.088,0","-33.5271,45.8367,0"
1,,,"-27.768,48.088,0","-27.8641,45.8308,0"
1,,,"-47.788,34.842,0","-49.315667,35.790444,0"
1,,,"-47.788,28.548,0","-49.315667,27.597778,0"
1,,,"-31.532,16.207,0","-33.248889,17.9,0"
1,,,"-47.388,6.428,0","-45.3307,5.8668,0"
1,,,"-23.663,5.972,0","-23.087714,4.630571,0"
1,,,"-23.612,2.842,0","-23.087714,4.630571,0"
1,,,"-22.413,2.842,0","-23.087714,4.630571,0"
1,,,"-41.092,13.998,0","-41.651375,16.592,0"
1,,,"-40.492,17.822,0","-41.651375,16.592,0"
1,,,"-9.432,12.718,0","-12.722571,13.504,0"
1,,,"-16.618,13.89,0","-12.722571,13.504,0"
1,,,"-10.852,12.718,0","-12.722571,13.504,0"
1,,,"-3.732,25.382,0","-4.930444,24.156444,0"
1,,,"-41.468,45.016,4.57","-41.763,43.9742,4.57"
1,,,"-19.892,14.191,4.57","-23.361111,11.560667,4.57"
1,,,"-26.002,14.262,4.57","-23.361111,11.560667,4.57"
1,,,"-20.848,19.382,4.57","-23.6252,18.0676,4.57"
1,,,"-24.983,19.382,4.57","-23.6252,18.0676,4.57"
1,,,"-24.308,37.392,0","-21.877,36.6011,0"
1,,,"-23.133,40.722,0","-21.880857,43.038429,0"
1,,,"-23.752,42.281,0","-21.880857,43.038429,0"
1,,,"-25.393,22.668,0","-23.69575,20.163125,0"
1,,,"-34.152,24.502,0","-34.496778,27.453556,0"
1,,,"-45.012,46.816,4.57","-46.15825,48.90775,4.57"
1,,,"-18.058,45.722,0","-15.6655,45.397875,0"
1,,,"-18.058,48.685,0","-16.7328,49.3246,0"
1,,,"-42.509,11.156,4.57","-42.222286,12.509714,4.57"
1,,,"-29.828,53.331,0","-27.91925,54.856,0"
1,,,"-31.662,50.501,0","-33.290857,50.798857,0"
1,,,"-26.142,36.037,0","-26.54875,35.759,0"
1,,,"-36.112,38.308,0","-34.712286,36.388286,0"
1,,,"-34.152,38.888,0","-34.712286,36.388286,0"
1,,,"-42.669,34.842,0","-41.522333,36.027444,0"
1,,,"-42.669,28.548,0","-41.6175,26.583,0"
1,,,"-32.763,28.548,0","-32.602,27.220857,0"
1,,,"-32.953,24.502,0","-32.602,27.220857,0"
1,,,"-26.142,27.352,0","-26.54925,27.631,0"
1,,,"-47.813,53.202,0","-46.916,55.47775,0"
1,,,"-41.907,1.812,0","-39.947444,0.883111,0"
1,,,"-27.028,7.031,0","-25.686,8.523625,0"
1,,,"-22.448,9.588,0","-21.04875,9.05525,0"
1,,,"-9.352,21.943,0","-12.598,22.125111,0"
1,,,"-2.689,42.732,4.57","-1.092,41.549,4.57"
1,,,"-24.133,26.666,4.57","-22.027,27.79275,4.57"
1,,,"-27.003,21.796,4.57","-29.339875,25.753,4.57"
1,,,"-19.273,22.912,4.57","-18.078857,25.056286,4.57"
1,,,"-16.768,24.927,4.57","-18.078857,25.056286,4.57"
1,,,"-16.768,24.927,4.57","-15.074571,24.263143,4.57"
1,,,"-12.948,23.532,4.57","-15.074571,24.263143,4.57"
1,,,"-12.393,22.912,4.57","-13.608667,20.050889,4.57"
1,,,"-17.768,15.166,4.57","-16.19,16.411778,4.57"
1,,,"-13.432,14.586,4.57","-14.263,17.086375,4.57"
1,,,"-37.603,49.956,4.57","-36.999375,51.59575,4.57"
1,,,"-24.332,40.722,0","-25.332,43.011286,0"
1,,,"-23.752,42.281,0","-25.332,43.011286,0"
1,,,"-36.108,40.722,0","-37.730571,43.023143,0"
1,,,"-28.563,22.668,0","-27.130143,19.859857,0"
1,,,"-25.378,46.816,4.57","-26.551429,48.708857,4.57"
1,,,"-21.233,37.136,4.57","-21.576,36.700714,4.57"
1,,,"-4.362,41.871,0","-5.86175,43.34725,0"
1,,,"-4.362,44.781,0","-6.047714,45.285143,0"
1,,,"-2.978,47.591,0","-1.4605,49.30275,0"
1,,,"-27.228,49.922,0","-27.879714,50.847429,0"
1,,,"-43.868,34.842,0","-44.681143,36.530857,0"
1,,,"-38.658,26.525,0","-37.992857,26.295714,0"
1,,,"-40.475,48.512,0","-41.36075,47.0035,0"
1,,,"-38.658,15.427,0","-39.575,14.381667,0"
1,,,"-39.873,16.752,0","-39.575,14.381667,0"
1,,,"-7.112,19.335,0","-6.335333,18.8,0"
1,,,"-17.768,12.118,0","-15.444857,11.165143,0"
1,,,"-2.349,46.326,4.57","-1.6254,44.1696,4.57"
1,,,"-4.208,43.352,4.57","-1.6254,44.1696,4.57"
1,,,"-2.689,42.732,4.57","-1.6254,44.1696,4.57"
1,,,"-25.432,44.982,4.57","-26.108857,44.238571,4.57"
1,,,"-39.769,46.816,4.57","-39.118,48.401286,4.57"
