TRANSITION,weight,Unnamed: 1,Unnamed: 2,start,end
T116,1,SD97,N18,"-27.028,7.031,0","-33.65305,4.5675,0"
T117,1,SD100,N18,"-38.317,5.278,0","-33.65305,4.5675,0"
T118,1,SD193,N18,"-36.985,-0.247,0","-33.65305,4.5675,0"
T119,1,SD190,N19,"-14.258,35.812,4.57","-16.913182,33.221182,4.57"
T120,1,SD191,N19,"-18.627,37.136,4.57","-16.913182,33.221182,4.57"
T121,1,SD1,N20,"-38.658,53.448,0","-38.923,51.940632,0"
T122,1,SD14,N20,"-40.475,53.781,0","-38.923,51.940632,0"
T123,1,SD15,N20,"-40.475,52.642,0","-38.923,51.940632,0"
T124,1,SD16,N20,"-37.693,50.837,0","-38.923,51.940632,0"
T125,1,SD227,N20,"-39.378,55.421,0","-38.923,51.940632,0"
T126,1,SD54,N21,"-47.788,44.802,0","-46.027696,42.53887,0"
T127,1,SD201,N21,"-40.475,41.487,0","-46.027696,42.53887,0"
T128,1,SD64,N22,"-36.102,22.668,0","-29.8276,23.890267,0"
T129,1,SD65,N22,"-34.903,22.668,0","-29.8276,23.890267,0"
T130,1,SD66,N22,"-29.762,22.668,0","-29.8276,23.890267,0"
T131,1,SD67,N22,"-28.563,22.668,0","-29.8276,23.890267,0"
T132,1,SD68,N22,"-25.393,22.668,0","-29.8276,23.890267,0"
T133,1,SD207,N22,"-34.152,24.502,0","-29.8276,23.890267,0"
T134,1,SD208,N22,"-32.953,24.502,0","-29.8276,23.890267,0"
T135,1,SD209,N22,"-27.811,24.502,0","-29.8276,23.890267,0"
T136,1,SD152,N23,"-19.273,22.912,4.57","-18.96581,16.334762,4.57"
T137,1,SD176,N23,"-17.768,15.166,4.57","-18.96581,16.334762,4.57"
T138,1,SD177,N23,"-17.768,19.342,4.57","-18.96581,16.334762,4.57"
T139,1,SD185,N23,"-19.892,14.191,4.57","-18.96581,16.334762,4.57"
T140,1,SD186,N23,"-16.768,13.366,4.57","-18.96581,16.334762,4.57"
T141,1,SD187,N23,"-17.768,10.862,4.57","-18.96581,16.334762,4.57"
T142,1,SD113,N24,"-48.128,10.225,0","-49.61719,6.209429,0"
T143,1,SD115,N24,"-47.388,6.428,0","-49.61719,6.209429,0"
T144,1,SD134,N25,"-12.478,44.982,4.57","-13.247158,40.047,4.57"
T145,1,SD135,N25,"-10.943,40.697,4.57","-13.247158,40.047,4.57"
T146,1,SD190,N25,"-14.258,35.812,4.57","-13.247158,40.047,4.57"
T147,1,SD124,N26,"-27.708,44.982,4.57","-32.295938,45.570625,4.57"
T148,1,SD125,N26,"-27.122,46.197,4.57","-32.295938,45.570625,4.57"
T149,1,SD140,N26,"-34.778,44.982,4.57","-32.295938,45.570625,4.57"
T150,1,SD215,N26,"-35.508,46.816,4.57","-32.295938,45.570625,4.57"
T151,1,SD216,N26,"-32.098,46.816,4.57","-32.295938,45.570625,4.57"
T152,1,SD217,N26,"-28.688,46.816,4.57","-32.295938,45.570625,4.57"
T153,1,SD8,N27,"-3.693,34.842,0","-3.646385,43.071308,0"
T154,1,SD29,N27,"-4.362,47.791,0","-3.646385,43.071308,0"
